Country name,Currency name,Currency ISO code
Afghanistan,Afghani,AFN
Albania,Lek,ALL
Algeria,Algerian Dinar,DZD
American Samoa,US Dollar,USD
Andorra,Euro,EUR
Angola,Kwanza,AOA
Anguilla,East Caribbean Dollar,XCD
Antigua and Barbuda,East Caribbean Dollar,XCD
Argentina,Argentine Peso,ARS
Armenia,Armeniam Dram,AMD
Aruba,Aruban Florin,AWG
Australia,Australian Dollar,AUD
Austria,Euro,EUR
Azerbaijan,Azerbaijanian Manat,AZN
Bahamas,Bahamian Dollar,BSD
Bahrain,Bahraini Dinar,BHD
Bangladesh,Taka,BDT
Barbados,Barbados Dollar,BBD
Belarus,Belarusian Ruble,BYN
Belgium,Euro,EUR
Belize,Belize Dollar,BZD
Benin,CFA Franc (BCEAO),XOF
Bermuda,Bermudian Dollar,BMD
Bhutan,Ngultrum,BTN
Bolivia (Plurinat.State),Boliviano,BOB
Bonaire/S.Eustatius/Saba,US Dollar,USD
Bosnia and Herzegovina,Convertible Mark,BAM
Botswana,Pula,BWP
Brazil,Brazilian Real,BRL
British Indian Ocean Ter,US Dollar,USD
British Virgin Islands,US Dollar,USD
Brunei Darussalam,Brunei Dollar,BND
Bulgaria,Bulgarian Lev,BGN
Burkina Faso,CFA Franc (BCEAO),XOF
Burundi,Burundi Franc,BIF
Cabo Verde,Cabo Verde Escudo,CVE
Cambodia,Riel,KHR
Cameroon,CFA Franc (BEAC),XAF
Canada,Canadian Dollar,CAD
Cayman Islands,Cayman Islands Dollar,KYD
Central African Republic,CFA Franc (BEAC),XAF
Chad,CFA Franc (BEAC),XAF
Channel Islands,Pound Sterling,GBP
Chile,Chilean Peso,CLP
China,Yuan Renminbi,CNY
"China, Hong Kong SAR",Hong Kong Dollar,HKD
"China, Macao SAR",Pataca,MOP
Taiwan Province of China,New Taiwan Dollar,TWD
Christmas Island,Australian Dollar,AUD
Cocos (Keeling) Islands,Australian Dollar,AUD
Colombia,Colombian Peso,COP
Comoros,Comoro Franc,KMF
Congo,CFA Franc (BEAC),XAF
"Congo, Dem. Rep. of the",Congolese Franc,CDF
Cook Islands,New Zealand Dollar,NZD
Costa Rica,Costa Rican Colón,CRC
Côte d'Ivoire,CFA Franc (BCEAO),XOF
Croatia,Croatian Kuna,HRK
Cuba,Cuban Peso,CUP
Curaçao,Netherlands Antillian Guilder,ANG
Cyprus,Euro,EUR
Czechia,Czech Koruna,CZK
Denmark,Danish Krone,DKK
Djibouti,Djibouti Franc,DJF
Dominica,East Caribbean Dollar,XCD
Dominican Republic,Dominican Peso,DOP
Ecuador,US Dollar,USD
Egypt,Egyptian Pound,EGP
El Salvador,US Dollar,USD
Equatorial Guinea,CFA Franc (BEAC),XAF
Eritrea,Nakfa,ERN
Estonia,Euro,EUR
Ethiopia,Ethiopian Birr,ETB
Falkland Is.(Malvinas),Falkland Islands Pound,FKP
Faroe Islands,Danish Krone,DKK
"Fiji, Republic of",Fiji Dollar,FJD
Finland,Euro,EUR
France,Euro,EUR
French Guiana,Euro,EUR
French Polynesia,CFP Franc,XPF
French Southern Terr,Euro,EUR
Gabon,CFA Franc (BEAC),XAF
Gambia,Dalasi,GMD
Georgia,Lari,GEL
Germany,Euro,EUR
Ghana,Ghana Cedi,GHS
Gibraltar,Gibraltar Pound,GIP
Greece,Euro,EUR
